Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,9_L,Properties\Quality\Bad Quality,0,made on a completely false pretense,maxku,28-May-18 10:56:38,Nuclear deal,,35,0.11,6,6
●,9_L,Properties\Behaviour & character\SHOWN as Not reasonable/Stupid,0,made on a completely false pretense,maxku,28-May-18 10:56:43,Nuclear deal,,35,0.11,6,6
●,9_L,Properties\Behaviour & character\Not trustworthy,0,lied,maxku,28-May-18 10:56:51,IRN,,4,0.01,6,6
●,9_L,IRN,0,dishonest actors,maxku,28-May-18 10:57:01,,,16,0.05,6,6
●,9_L,Properties\Behaviour & character\Not trustworthy,0,dishonest,maxku,28-May-18 10:57:07,IRN,,9,0.03,6,6
●,9_L,Properties\Behaviour & character\SHOWN as Not reasonable/Stupid,0,made on things that weren't accurate,maxku,28-May-18 10:57:18,Nuclear deal,,36,0.12,6,6
●,9_L,Properties\Quality\Bad Quality,0,made on things that weren't accurate,maxku,28-May-18 10:57:20,Nuclear deal,,36,0.12,6,6
●,9_L,Properties\Affection\Refusal,0,have a big problem with that,maxku,28-May-18 10:57:38,Nuclear deal,,28,0.09,6,6
●,9_L,Properties\Power & Strength\Powerful & Leading,0,discussed the rollout of the new information,maxku,28-May-18 10:57:55,USA,,44,0.14,7,7
●,9_L,Properties\Power & Strength\Powerful & Leading,0,informed Mr. Trump of the operation,maxku,28-May-18 10:58:15,"ISR
ISR-I",,35,0.11,7,7
●,9_L,ISR\ISR-I,0,Yossi Cohen,maxku,28-May-18 10:58:51,,,11,0.04,7,7
●,9_L,ISR\ISR-I,0,Mossad,maxku,28-May-18 10:59:00,,,6,0.02,7,7
●,9_L,ISR\ISR-I,0,the chief of Israel's intelligence agency,maxku,28-May-18 10:59:06,,,41,0.13,7,7
●,9_L,ISR,0,Israel's intelligence agency,maxku,28-May-18 10:59:10,,,28,0.09,7,7
●,9_L,Properties\Power & Strength\Powerful & Leading,0,briefed,maxku,28-May-18 10:59:20,Netanyahu,,7,0.02,7,7
●,9_L,USA,0,United States intelligence agencies,felix,10-Dec-18 12:57:31,,,35,0.11,8,8
●,9_L,IRN files,0,Iranian files,maxku,28-May-18 11:00:00,,,13,0.04,8,8
●,9_L,ISR\Netanyahu,0,Mr. Netanyahu's,maxku,28-May-18 11:00:07,,,15,0.05,8,8
●,9_L,Nuclear deal,0,the Iran deal,maxku,28-May-18 11:00:19,,,13,0.04,8,8
●,9_L,USA\Trump,0,Mr. Trump,maxku,28-May-18 11:00:23,,,9,0.03,8,8
●,9_L,Properties\Power & Strength\Powerful & Leading,0,decide to reimpose sanctions,maxku,28-May-18 11:00:38,Trump,,28,0.09,8,8
●,9_L,Properties\Economy\Negative - economy,0,decide to reimpose sanctions,maxku,28-May-18 11:00:52,IRN,,28,0.09,8,8
●,9_L,IRN,0,Tehran,maxku,28-May-18 11:01:00,,,6,0.02,8,8
●,9_L,Properties\Other\Other,0,starkly divergent reactions,maxku,28-May-18 11:01:26,USA,,27,0.09,8,8
●,9_L,USA,0,The White House,maxku,28-May-18 11:01:34,,,15,0.05,9,9
●,9_L,IRN files,0,the files,maxku,28-May-18 11:01:39,,,9,0.03,9,9
●,9_L,IRN,0,Iran,maxku,28-May-18 11:01:43,,,4,0.01,9,9
●,9_L,Properties\Power & Strength\Powerful & Leading,0,demonstrated that Iran was in violation of the 2015 agreement,maxku,28-May-18 11:01:58,IRN files,,61,0.20,9,9
●,9_L,Properties\Law\Unlawful,0,in violation of,maxku,28-May-18 11:14:23,IRN,,15,0.05,9,9
●,9_L,Nuclear deal,0,the 2015 agreement,maxku,28-May-18 11:14:32,,,18,0.06,9,9
●,9_L,USA\USA-I,0,Ms. Sanders,maxku,28-May-18 11:14:43,,,11,0.04,9,9
●,9_L,USA\USA-I,0,Sarah Huckabee Sanders,maxku,28-May-18 11:14:59,,,22,0.07,6,6
●,9_L,USA\USA-I,0,the White House press secretary,maxku,28-May-18 11:15:04,,,31,0.10,6,6
●,9_L,USA\USA-I,0,Ms. Sanders,maxku,28-May-18 11:15:10,,,11,0.04,7,7
●,9_L,IRN,0,Iran,maxku,28-May-18 11:15:26,,,4,0.01,9,9
●,9_L,Properties\Law\Unlawful,0,deceit,maxku,28-May-18 11:15:41,IRN,,6,0.02,9,9
●,9_L,Nuclear deal,0,the deal,maxku,28-May-18 11:15:56,,,8,0.03,9,9
●,9_L,Properties\Power & Strength\Powerful & Leading,0,further undermining,maxku,28-May-18 11:16:02,USA-I,,19,0.06,9,9
●,9_L,USA,0,the administration,maxku,28-May-18 11:16:12,,,18,0.06,10,10
●,9_L,IRN,0,Iran,maxku,28-May-18 11:16:17,,,4,0.01,10,10
●,9_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,tough line on,maxku,28-May-18 11:16:21,USA,,13,0.04,10,10
●,9_L,Properties\Violence & Unfair\Victim (receiving violence),0,tough line on,maxku,28-May-18 11:16:23,IRN,,13,0.04,10,10
●,9_L,USA\USA-I,0,Ms. Sanders,maxku,28-May-18 11:16:35,,,11,0.04,10,10
●,9_L,Properties\Quality\Bad Quality,0,potentially dangerous typo,maxku,28-May-18 11:17:24,USA,,26,0.08,10,10
●,9_L,IRN files,0,the Israeli disclosures,maxku,28-May-18 11:17:38,,,23,0.07,10,10
●,9_L,Properties\Power & Strength\Powerful & Leading,0,"robust, clandestine",maxku,28-May-18 11:17:59,IRN nuclear activity,,19,0.06,10,10
●,9_L,Properties\Behaviour & character\Not trustworthy,0,tried and failed to hide,maxku,28-May-18 11:18:41,IRN,,24,0.08,10,10
●,9_L,Properties\Behaviour & character\SHOWN as Not reasonable/Stupid,0,tried and failed to hide,maxku,28-May-18 11:18:45,IRN,,24,0.08,10,10
●,9_L,USA,0,White House officials,maxku,28-May-18 11:19:03,,,21,0.07,11,11
●,9_L,Properties\Behaviour & character\SHOWN as Not reasonable/Stupid,0,a clerical error,maxku,28-May-18 11:20:07,USA,,16,0.05,11,11
●,9_L,Properties\Power & Strength\Powerful & Leading,0,a robust” program,maxku,28-May-18 11:20:58,IRN,,17,0.06,11,11
●,9_L,IRN,0,Iran,maxku,28-May-18 11:21:03,,,4,0.01,11,11
●,9_L,USA\USA-I,0,Ms. Sanders,maxku,28-May-18 12:37:19,,,11,0.04,11,11
●,9_L,Properties\Quality\Bad Quality,0,biggest mistake,maxku,28-May-18 12:37:39,Nuclear deal,,15,0.05,11,11
●,9_L,Nuclear deal,0,the deal,maxku,28-May-18 12:38:10,,,8,0.03,11,11
●,9_L,ISR,0,Israel,maxku,28-May-18 12:38:15,,,6,0.02,12,12
●,9_L,Properties\Power & Strength\Powerful & Leading,0,not finished with its lobbying campaign,maxku,28-May-18 12:38:22,ISR,,39,0.13,12,12
●,9_L,ISR,0,Officials,maxku,28-May-18 12:38:46,,,9,0.03,12,12
●,9_L,IRN files,0,the data,maxku,28-May-18 12:38:58,,,8,0.03,12,12
●,9_L,Properties\Power & Strength\Powerful & Leading,0,planned to share much of the data,maxku,28-May-18 12:39:13,ISR,,33,0.11,12,12
●,9_L,IRN,0,Iran,maxku,28-May-18 12:39:55,,,4,0.01,12,12
●,9_L,IRN nuclear activity,0,previously unknown nuclear sites,maxku,28-May-18 12:40:04,,,32,0.10,12,12
●,9_L,Properties\Importance\Important & Intense,0,previously unknown,maxku,28-May-18 12:40:13,IRN files,,18,0.06,12,12
●,9_L,ISR,0,Israel,maxku,28-May-18 12:40:27,,,6,0.02,13,13
●,9_L,IRN,0,the Iranians,maxku,28-May-18 12:40:40,,,12,0.04,13,13
●,9_L,IRN,0,Iran,maxku,28-May-18 12:40:50,,,4,0.01,13,13
●,9_L,ISR,0,the Israelis,maxku,28-May-18 12:40:57,,,12,0.04,13,13
●,9_L,USA,0,some American officials,maxku,28-May-18 12:41:02,,,23,0.07,13,13
●,9_L,IRN,0,the Iranians,maxku,28-May-18 12:41:06,,,12,0.04,13,13
●,9_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,force,maxku,28-May-18 12:41:59,ISR,,5,0.02,13,13
●,9_L,Properties\Power & Strength\Weak & Following,0,allow inspections,maxku,28-May-18 12:42:18,IRN,,17,0.06,13,13
●,9_L,Properties\Power & Strength\Weak & Following,0,balk at the demand,maxku,28-May-18 12:43:01,IRN,,18,0.06,13,13
●,9_L,Nuclear deal,0,the deal,maxku,28-May-18 12:43:11,,,8,0.03,13,13
●,9_L,Properties\Difficulty\Difficult,0,another crisis,maxku,28-May-18 12:43:18,Nuclear deal,,14,0.05,13,13
●,9_L,ISR\Netanyahu,0,Mr. Netanyahu,maxku,28-May-18 12:43:29,,,13,0.04,14,14
●,9_L,Properties\Importance\Unimportant,0,no signs that Mr. Netanyahu's presentation on Monday swayed,maxku,28-May-18 12:43:53,Netanyahu,,59,0.19,14,14
●,9_L,Properties\Importance\Important & Intense,0,lobbied Mr. Trump not to scuttle the deal,maxku,28-May-18 12:44:23,Trump,,41,0.13,14,14
●,9_L,ISR\Netanyahu,0,The Israeli prime minister,maxku,28-May-18 12:44:42,,,26,0.08,15,15
●,9_L,IRN,0,Iran,maxku,28-May-18 12:44:47,,,4,0.01,15,15
●,9_L,Properties\Importance\Important & Intense,0,importance,maxku,28-May-18 12:45:02,Nuclear deal,,10,0.03,15,15
●,9_L,Nuclear deal,0,the Iran nuclear deal,maxku,28-May-18 12:45:13,,,21,0.07,15,15
●,9_L,IRN,0,Tehran,maxku,28-May-18 12:45:17,,,6,0.02,15,15
●,9_L,Nuclear deal,0,The Iran nuclear deal,maxku,28-May-18 12:47:11,,,21,0.07,15,15
●,9_L,Properties\Safety\Unsafe,0,not based on trust,maxku,28-May-18 12:47:21,Nuclear deal,,18,0.06,15,15
●,9_L,IRN,0,Iran,maxku,28-May-18 12:47:28,,,4,0.01,15,15
●,9_L,Properties\Behaviour & character\Not trustworthy,0,not based on trust about Iran's intentions,maxku,28-May-18 12:47:35,IRN,,42,0.14,15,15
●,9_L,Properties\Importance\Important & Intense,0,based on tough verification,maxku,28-May-18 12:47:47,Nuclear deal,,27,0.09,15,15
●,9_L,ISR,0,Israel,maxku,28-May-18 12:48:11,,,6,0.02,16,16
●,9_L,Nuclear deal,0,the Iranian program,maxku,28-May-18 12:48:29,,,19,0.06,16,16
●,9_L,Properties\Importance\Important & Intense,0,need for longer-term assurances,maxku,28-May-18 12:48:39,Nuclear deal,,31,0.10,16,16
●,9_L,IRN,0,the inspection regime,maxku,28-May-18 12:48:54,,,21,0.07,16,16
●,9_L,IRN,0,one of the most exhaustive and robust regimes,maxku,28-May-18 12:49:01,,,45,0.15,16,16
●,9_L,Properties\Power & Strength\Powerful & Leading,0,most exhaustive and robust,maxku,28-May-18 12:49:11,IRN,,26,0.08,16,16
●,9_L,IRN nuclear activity,0,nuclear nonproliferation,maxku,28-May-18 12:49:23,,,24,0.08,16,16
●,9_L,USA\Trump,0,Mr. Trump,maxku,28-May-18 12:49:31,,,9,0.03,17,17
●,9_L,Nuclear deal,0,the deal,maxku,28-May-18 12:49:37,,,8,0.03,17,17
●,9_L,IRN,0,Iran,maxku,28-May-18 12:51:06,,,4,0.01,17,17
●,9_L,Properties\Difficulty\Difficult,0,years of accusations and negotiations,maxku,28-May-18 12:52:02,"IRN
USA",,37,0.12,18,18
●,9_L,IRN,0,Iran,maxku,28-May-18 12:52:16,,,4,0.01,18,18
●,9_L,USA,0,the Bush and Obama administrations,maxku,28-May-18 12:52:22,,,34,0.11,18,18
●,9_L,IRN,0,Tehran,maxku,28-May-18 12:52:27,,,6,0.02,18,18
●,9_L,Properties\Affection\Refusal,0,dismissed,maxku,28-May-18 12:52:57,USA,,9,0.03,18,18
●,9_L,Properties\Behaviour & character\Trustworthy,0,peaceful in nature,maxku,28-May-18 12:53:13,"IRN nuclear activity
IRN",,18,0.06,18,18
●,9_L,IRN,0,Iranian deceptions,maxku,28-May-18 12:53:34,,,18,0.06,18,18
●,9_L,IRN nuclear activity,0,hidden facilities,maxku,28-May-18 12:53:42,,,17,0.06,18,18
●,9_L,ISR\Netanyahu,0,Mr. Netanyahu,maxku,28-May-18 12:53:56,,,13,0.04,18,18
●,9_L,IRN,0,Iranian deception,maxku,28-May-18 12:54:38,,,17,0.06,20,20
●,9_L,Properties\Behaviour & character\Not trustworthy,0,the legacy of Iranian deception,maxku,28-May-18 12:54:47,IRN,,31,0.10,20,20
●,9_L,IRN files,0,nuclear files,maxku,28-May-18 12:54:57,,,13,0.04,20,20
●,9_L,Nuclear deal,0,the deal,maxku,28-May-18 12:55:07,,,8,0.03,20,20
●,9_L,USA\USA-I,0,Mr. Obama's secretary of state,maxku,28-May-18 12:55:14,,,30,0.10,21,21
●,9_L,USA\USA-I,0,John Kerry,maxku,28-May-18 12:55:17,,,10,0.03,21,21
●,9_L,Nuclear deal,0,the agreement,maxku,28-May-18 12:55:34,,,13,0.04,21,21
●,9_L,IRN nuclear activity,0,Iran's program,maxku,28-May-18 12:55:47,,,14,0.05,21,21
●,9_L,IRN,0,Iran,maxku,28-May-18 12:55:56,,,4,0.01,21,21
●,9_L,Properties\Other\Other,0,no visibility into,maxku,28-May-18 12:56:05,"IRN nuclear activity
IRN",,18,0.06,21,21
●,9_L,ISR\Netanyahu,0,Mr. Netanyahu,maxku,28-May-18 12:56:32,,,13,0.04,22,22
●,9_L,USA,0,Former and current intelligence officials,maxku,28-May-18 12:56:36,,,41,0.13,22,22
●,9_L,Properties\Power & Strength\Powerful & Leading,0,closely monitored,maxku,28-May-18 12:56:42,USA,,17,0.06,22,22
●,9_L,IRN,0,Iran,maxku,28-May-18 12:57:24,,,4,0.01,22,22
●,9_L,IRN nuclear activity,0,Iran's programs,maxku,28-May-18 12:57:28,,,15,0.05,22,22
●,9_L,IRN,0,Iran,maxku,28-May-18 12:57:37,,,4,0.01,22,22
●,9_L,Properties\Quality\Bad Quality,0,nothing that Mr. Netanyahu made public indicated,maxku,28-May-18 12:57:53,"Presentation
Netanyahu",,48,0.16,22,22
●,9_L,IRN,0,Iran,maxku,28-May-18 13:03:01,,,4,0.01,24,24
●,9_L,Properties\Power & Strength\Powerful & Leading,0,suspended its nuclear program,maxku,28-May-18 13:03:17,IRN,,29,0.09,24,24
●,9_L,IRN nuclear activity,0,continued to build other facilities,maxku,28-May-18 13:03:29,,,35,0.11,24,24
●,9_L,IRN nuclear activity,0,giant underground enrichment center,maxku,28-May-18 13:03:38,,,35,0.11,24,24
●,9_L,ISR\Netanyahu,0,Mr. Netanyahu,maxku,28-May-18 13:03:43,,,13,0.04,24,24
●,9_L,IRN nuclear activity,0,that site,maxku,28-May-18 13:03:58,,,9,0.03,24,24
●,9_L,IRN,0,Iran,maxku,28-May-18 13:06:33,,,4,0.01,25,25
●,9_L,Properties\Economy\Negative - economy,0,sanctions,maxku,28-May-18 13:06:39,IRN,,9,0.03,24,24
●,9_L,Properties\Power & Strength\Powerful & Leading,0,refuses to allow,maxku,28-May-18 13:06:57,IRN,,16,0.05,25,25
●,9_L,IRN files,0,the stolen archive,maxku,28-May-18 13:07:08,,,18,0.06,25,25
●,9_L,IRN nuclear activity,0,sites identified by the stolen archive,maxku,28-May-18 13:07:12,,,38,0.12,25,25
●,9_L,Properties\Difficulty\Difficult,0,inspection crisis,maxku,28-May-18 13:07:28,IRN,,17,0.06,25,25
●,9_L,IRN,0,The Iranians,maxku,28-May-18 13:07:38,,,12,0.04,25,25
●,9_L,IRN nuclear activity,0,military sites,maxku,28-May-18 13:07:46,,,14,0.05,25,25
●,9_L,IRN nuclear activity,0,such sites,maxku,28-May-18 13:09:51,,,10,0.03,25,25
●,9_L,Nuclear deal,0,the agreement,maxku,28-May-18 13:10:14,,,13,0.04,26,26
●,9_L,Properties\Power & Strength\Powerful & Leading,0,resolve the disputes,maxku,28-May-18 13:10:19,Nuclear deal,,20,0.06,26,26
●,9_L,ISR,0,the Israeli strategy,maxku,28-May-18 13:10:28,,,20,0.06,26,26
●,9_L,USA,0,the United States,maxku,28-May-18 13:10:33,,,17,0.06,26,26
●,9_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,force,maxku,28-May-18 13:10:38,"ISR
USA",,5,0.02,26,26
●,9_L,Properties\Violence & Unfair\Victim (receiving violence),0,force,maxku,28-May-18 13:10:40,IRN,,5,0.02,26,26
●,9_L,IRN,0,the Iranians,maxku,28-May-18 13:10:55,,,12,0.04,26,26
●,9_L,Properties\Law\Lawful,0,force the Iranians into the first violations,maxku,28-May-18 13:11:18,IRN,,44,0.14,26,26
●,9_L,ISR\ISR-I,0,one former Israeli official,maxku,28-May-18 13:11:28,,,27,0.09,26,26
●,9_L,IRN,0,the Iranians,maxku,28-May-18 13:11:32,,,12,0.04,26,26
●,9_L,Properties\Behaviour & character\Not trustworthy,0,trying to deceive,maxku,28-May-18 13:11:39,IRN,,17,0.06,26,26
●,9_L,ISR,0,Israel,maxku,28-May-18 13:11:52,,,6,0.02,27,27
●,9_L,ISR\Netanyahu,0,Mr. Netanyahu,maxku,28-May-18 13:11:57,,,13,0.04,27,27
●,9_L,Properties\Quality\Bad Quality,0,would do much,maxku,28-May-18 13:12:04,"Netanyahu
Presentation",,13,0.04,27,27
●,9_L,Properties\Importance\Unimportant,0,would do much,maxku,28-May-18 13:12:09,Presentation,,13,0.04,27,27
●,9_L,USA\Trump,0,Mr. Trump,maxku,28-May-18 13:12:35,,,9,0.03,27,27
●,9_L,ISR,0,the Israeli discovery,maxku,28-May-18 13:12:43,,,21,0.07,27,27
●,9_L,Properties\Power & Strength\Powerful & Leading,0,provide additional cover or supporting evidence,maxku,28-May-18 13:12:53,ISR,,47,0.15,27,27
●,9_L,ISR\ISR-I,0,several analysts,maxku,28-May-18 13:13:04,,,16,0.05,27,27
●,9_L,USA\Trump,0,Mr. Trump,maxku,28-May-18 13:13:27,,,9,0.03,27,27
●,9_L,Reaction to IRN deal,0,justify his decision,maxku,28-May-18 13:13:33,,,20,0.06,27,27
●,9_L,ISR\ISR-I,0,officials in Mr. Netanyahu's government,maxku,28-May-18 13:13:38,,,39,0.13,27,27
●,9_L,ISR,0,Mr. Netanyahu's government,maxku,28-May-18 13:13:42,,,26,0.08,27,27
●,9_L,ISR\Netanyahu,0,Mr. Netanyahu,maxku,28-May-18 13:13:46,,,13,0.04,27,27
●,9_L,Properties\Other\Other,0,are said to have concluded,maxku,28-May-18 13:13:54,ISR-I,,26,0.08,27,27
●,9_L,ISR\ISR-I,0,the former chief of military intelligence for the Israeli Defense Forces,maxku,28-May-18 13:14:19,,,72,0.23,28,28
●,9_L,ISR\ISR-I,0,Amos Yadlin,maxku,28-May-18 13:14:22,,,11,0.04,28,28
●,9_L,ISR,0,the Israeli Defense Forces,maxku,28-May-18 13:14:27,,,26,0.08,28,28
●,9_L,IRN,0,the Iranians,maxku,28-May-18 13:14:39,,,12,0.04,28,28
●,9_L,ISR,0,Israel,maxku,28-May-18 13:14:44,,,6,0.02,28,28
●,9_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,penetrated,maxku,28-May-18 13:14:51,ISR,,10,0.03,28,28
●,9_L,Properties\Violence & Unfair\Victim (receiving violence),0,penetrated,maxku,28-May-18 13:14:52,IRN,,10,0.03,28,28
●,9_L,IRN,0,Iranian public opinion,maxku,28-May-18 13:16:52,,,22,0.07,28,28
●,9_L,IRN\IRN-Misc,0,the opposition,maxku,28-May-18 13:16:59,,,14,0.05,28,28
●,9_L,USA\Trump,0,Trump,maxku,28-May-18 13:17:03,,,5,0.02,28,28
●,9_L,Properties\Violence & Unfair\Victim (receiving violence),0,the target,maxku,28-May-18 13:17:14,Trump,,10,0.03,28,28
●,9_L,ISR\Netanyahu,0,the prime minister,maxku,28-May-18 13:17:25,,,18,0.06,28,28
●,9_L,Reaction to IRN deal,0,not to walk away,maxku,28-May-18 13:17:38,,,16,0.05,28,28
